Lipids,OW40_1,OW40_2,OW40_3,OW40_5,OW40_6,OW40_7,OW450_2,OW450_3,OW450_7,OW450_1,OW450_5,OW450_6
GPCho(18:0/20:0),3.06542371988746e-5,2.73334372986825e-5,2.54724390673501e-5,2.58978368906678e-5,1.91098365489613e-5,2.18800021530148e-5,3.5579187955424e-5,1.57127669880944e-5,1.44546336201229e-5,3.13449656435551e-5,2.32742890665049e-5,2.58219650476288e-5
"GPCho(18:1(4E)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",6.69361693111311e-4,7.79295966940087e-4,7.50006968731134e-4,7.69187241360073e-4,7.18224046111371e-4,7.72367396203336e-4,9.05443896547053e-4,5.78835119736821e-4,6.34250177060362e-4,9.24533243329158e-4,6.54734453025485e-4,8.30681277451601e-4
GPCho(18:1(6Z)/15:1(9Z)),4.57533868486038e-4,5.51309788010369e-4,4.62832332502761e-4,5.5395388086577e-4,4.77997073045173e-4,5.00905489493275e-4,6.84693668001506e-4,3.8469266546001e-4,3.65247965240916e-4,6.62882381256003e-4,4.58716204982505e-4,6.14111666715726e-4
GPCho(18:1(6Z)/18:0),7.86884005575536e-4,9.92960354831957e-4,9.44153299802004e-4,0.0010389268554036,0.00104535031537592,9.56787877426577e-4,6.08434051183587e-4,4.85904383239023e-4,5.47448919530004e-4,6.66020999351502e-4,4.70766806838161e-4,5.94817458507224e-4
GPCho(18:1(7Z)/16:0),8.27837041759191e-4,0.00103082624511722,8.51841287331485e-4,8.85898207936411e-4,7.92439126188883e-4,7.157957325927e-4,6.15628768843985e-4,3.03565925176026e-4,2.22380789415292e-4,6.02789348247902e-4,4.13979564805056e-4,4.66365906771846e-4
"GPCho(18:1(7Z)/20:4(7E,10E,13E,16E))",0.00335136972402178,0.00396982876190284,0.00396144783719435,0.00393249275473275,0.00380875426730759,0.00374032381386158,0.00371609220626691,0.00330591124319988,0.00331624103376303,0.00398225689175274,0.0029807269349838,0.00356906292421521
GPCho(18:1(9E)/17:1(9Z)),7.34834720818027e-4,7.13253962447243e-4,7.63856069223271e-4,7.25736463031432e-4,7.39267887167415e-4,7.68443426351335e-4,0.00113098247176896,6.71951613627614e-4,7.69271430934512e-4,0.00107957476995497,7.83782267741665e-4,9.51512970246823e-4
GPCho(18:1(9Z)/18:1(6Z)),0.00331187316428191,0.00322296159129082,0.00372267133541806,0.00373986417417184,0.00369889826729166,0.00392503791015341,0.00423992325528005,0.00450674200571298,0.00498114624142149,0.00463437854615083,0.00345134940855914,0.00419076351362187
"GPCho(18:1(9Z)/18:3(9Z,12Z,15Z))",2.67644136520325e-5,3.93987424794307e-5,2.69217512881882e-5,2.76282273180265e-5,3.3653152294573e-5,3.39979701652346e-5,4.55901876581179e-6,3.4216843743872e-6,3.88252593544202e-6,6.06730880035562e-6,3.28640710817522e-6,5.25101216460809e-6
"GPCho(18:2(2E,4E)/17:1(9Z))",1.57032298596452e-4,1.3528043969272e-4,1.34462610980728e-4,1.39688951963894e-4,1.32241968246928e-4,1.45509390429228e-4,1.81696926730361e-4,8.78630713927712e-5,1.06509424608687e-4,1.76061431621291e-4,1.22646266851826e-4,1.62200520078545e-4
